NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;NBJRR1;NBJRR5;NBJRR10;NBJBROU;TX;TN;TM;UMM;INST;FFM
92025001;COLOMBES;48.925167;2.255333;29;200505;45.8;7.0;4.0;2.0;;21.2;10.6;15.9;;;
92025001;COLOMBES;48.925167;2.255333;29;200506;66.4;9.0;5.0;2.0;;26.6;14.6;20.6;;;
92025001;COLOMBES;48.925167;2.255333;29;200507;67.9;10.0;4.0;2.0;;25.8;16.1;20.9;;;
92025001;COLOMBES;48.925167;2.255333;29;200508;31.1;8.0;2.0;1.0;;25.4;13.9;19.7;;;
92025001;COLOMBES;48.925167;2.255333;29;200509;27.8;6.0;2.0;1.0;;23.8;13.8;18.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200510;24.7;6.0;1.0;0.0;;20.5;12.2;16.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200511;35.2;10.0;0.0;0.0;;10.0;4.7;7.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200512;28.3;7.0;2.0;0.0;;7.1;2.2;4.6;;;
92025001;COLOMBES;48.925167;2.255333;29;200601;30.1;7.0;1.0;1.0;;6.4;1.3;3.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200602;62.6;10.0;4.0;2.0;;7.0;1.6;4.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200603;72.8;16.0;4.0;3.0;;10.9;3.4;7.1;;;
92025001;COLOMBES;48.925167;2.255333;29;200604;33.9;5.0;3.0;0.0;;16.4;6.9;11.7;;;
92025001;COLOMBES;48.925167;2.255333;29;200605;64.8;12.0;5.0;1.0;;20.6;11.3;16.0;;;
92025001;COLOMBES;48.925167;2.255333;29;200606;33.7;6.0;1.0;1.0;;26.0;13.8;19.9;;;
92025001;COLOMBES;48.925167;2.255333;29;200607;50.6;9.0;4.0;2.0;;31.4;18.3;24.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200608;79.3;15.0;5.0;3.0;;22.7;14.1;18.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200609;42.3;6.0;3.0;2.0;;25.4;15.0;20.2;;;
92025001;COLOMBES;48.925167;2.255333;29;200610;32.8;9.0;2.0;1.0;;19.5;12.0;15.7;;;
92025001;COLOMBES;48.925167;2.255333;29;200611;49.2;10.0;2.0;2.0;;13.7;6.6;10.2;;;
92025001;COLOMBES;48.925167;2.255333;29;200612;63.6;8.0;5.0;3.0;;9.0;4.0;6.5;;;
92025001;COLOMBES;48.925167;2.255333;29;200701;23.8;8.0;0.0;0.0;;10.8;6.1;8.5;;;
92025001;COLOMBES;48.925167;2.255333;29;200702;80.4;13.0;6.0;3.0;;12.4;6.2;9.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200703;38.7;14.0;1.0;0.0;;13.9;4.8;9.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200704;11.2;1.0;1.0;1.0;;23.4;9.6;16.5;;;
92025001;COLOMBES;48.925167;2.255333;29;200705;81.4;15.0;6.0;1.0;;21.2;11.8;16.5;;;
92025001;COLOMBES;48.925167;2.255333;29;200706;44.0;12.0;4.0;0.0;;23.9;14.6;19.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200707;81.6;14.0;6.0;4.0;;24.2;15.1;19.6;;;
92025001;COLOMBES;48.925167;2.255333;29;200708;109.8;12.0;6.0;5.0;;23.0;13.9;18.5;;;
92025001;COLOMBES;48.925167;2.255333;29;200709;17.3;4.0;1.0;0.0;;20.9;11.2;16.0;;;
92025001;COLOMBES;48.925167;2.255333;29;200710;82.9;5.0;5.0;4.0;;16.3;8.3;12.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200711;38.1;7.0;1.0;0.0;;11.0;4.9;8.0;;;
92025001;COLOMBES;48.925167;2.255333;29;200712;62.8;11.0;5.0;1.0;;7.6;2.1;4.9;;;
92025001;COLOMBES;48.925167;2.255333;29;200801;52.5;12.0;4.0;2.0;;10.1;4.9;7.5;;;
92025001;COLOMBES;48.925167;2.255333;29;200802;24.6;10.0;1.0;0.0;;12.0;3.3;7.6;;;
92025001;COLOMBES;48.925167;2.255333;29;200803;86.9;17.0;5.0;1.0;;11.8;4.9;8.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200804;54.8;11.0;5.0;2.0;;16.0;6.5;11.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200805;84.4;10.0;6.0;2.0;;23.4;12.4;17.9;;;
92025001;COLOMBES;48.925167;2.255333;29;200806;16.1;5.0;1.0;0.0;;23.8;13.7;18.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200807;39.8;5.0;4.0;1.0;;25.9;14.9;20.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200808;65.0;7.0;5.0;2.0;;24.5;15.4;20.0;;;
